,CONTROL,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,NPT4_PUB,NPT4_PRIV,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_API,UGDS_API,OPEID,INSTNM,CITY,STABBR,INSTURL,HIGHDEG,LATITUDE,LONGITUDE
0,1,0.8989,370.0,450.0,350.0,450.0,,,13415.0,,0.0397,0.0199,0.0116,0.0,0.0,0.0348,0.0348,0.0,0.149,0.1175,0.0348,0.0,0.0281,0.0,0.0182,0.0546,0.0,0.1026,0.0199,0.0,0.0,0.0,0.0,0.0,0.0248,0.0,0.0579,0.005,0.0364,0.048,0.0,0.0,0.0,0.0,0.0166,0.0,0.1457,0.0,4051.0,0.0279,0.9501,0.0089,0.0022,0.0012,0.001,0.0,0.0002,0.0084,,,,100200,Alabama A & M University,Normal,AL,www.aamu.edu/,4,34.7834,-86.5685
1,1,0.8673,520.0,640.0,520.0,650.0,,,14805.0,,0.0,0.0,0.0,0.0018,0.0456,0.0,0.0099,0.0,0.0862,0.0632,0.0,0.009,0.0,0.0,0.0203,0.0262,0.0,0.0619,0.0135,0.0,0.0,0.0,0.0095,0.0,0.0181,0.0,0.084,0.028,0.0244,0.0501,0.0,0.0,0.0,0.0,0.0415,0.209,0.1765,0.0212,11200.0,0.5987,0.259,0.0258,0.0518,0.0026,0.0007,0.0344,0.014,0.013,,,,105200,University of Alabama at Birmingham,Birmingham,AL,www.uab.edu,4,33.5022,-86.8092
2,2,,,,,,,,,7455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0685,0.0,322.0,0.2919,0.4224,0.0093,0.0031,0.0031,0.0031,0.0,0.0,0.2671,,,,2503400,Amridge University,Montgomery,AL,www.amridgeuniversity.edu,4,32.3626,-86.174
3,1,0.8062,510.0,640.0,510.0,650.0,,,17520.0,,0.0,0.0,0.0,0.0,0.0318,0.0,0.0273,0.0,0.0173,0.2566,0.0,0.0173,0.0,0.0,0.0309,0.0,0.0,0.0855,0.0218,0.0,0.0,0.0,0.0082,0.0,0.0209,0.0,0.0218,0.0,0.0,0.0173,0.0,0.0,0.0,0.0,0.0346,0.172,0.2247,0.0118,5525.0,0.7012,0.131,0.0338,0.0364,0.0145,0.0002,0.0161,0.0329,0.0338,,,,105500,University of Alabama in Huntsville,Huntsville,AL,www.uah.edu,4,34.7228,-86.6384
4,1,0.5125,380.0,480.0,370.0,480.0,,,11936.0,,0.0,0.0,0.0,0.0,0.0733,0.0,0.045,0.0,0.215,0.0,0.0,0.0,0.0,0.0,0.0183,0.0,0.0,0.1033,0.0183,0.0,0.0,0.0183,0.0,0.0,0.015,0.0,0.0617,0.1183,0.065,0.015,0.0,0.0,0.0,0.0,0.0567,0.0633,0.1067,0.0067,5354.0,0.0161,0.9285,0.0114,0.0015,0.0009,0.0007,0.0064,0.0207,0.0138,,,,100500,Alabama State University,Montgomery,AL,www.alasu.edu/email/index.aspx,4,32.3643,-86.2957
5,1,0.5655,490.0,620.0,500.0,640.0,480.0,600.0,20916.0,,0.0,0.0054,0.0,0.0022,0.1084,0.0,0.0068,0.0,0.084,0.064,0.0,0.0068,0.07,0.0,0.0178,0.0,0.0,0.0348,0.0076,0.0,0.0302,0.0,0.006,0.0,0.0074,0.0,0.0354,0.0216,0.0124,0.0422,0.0,0.0,0.0,0.0,0.036,0.0946,0.287,0.0194,28692.0,0.7865,0.114,0.0313,0.0112,0.0044,0.0011,0.021,0.0278,0.0028,,,,105100,The University of Alabama,Tuscaloosa,AL,www.ua.edu/,4,33.2144,-87.5458
6,1,,,,,,,,6407.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0186,0.0,0.0,0.0,0.0669,0.0,0.0,0.0,0.0,0.4833,0.0,0.0,0.0,0.0,0.0372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0558,0.0297,0.0,0.0,0.2045,0.1041,0.0,1779.0,0.6785,0.2945,0.0118,0.0022,0.0022,0.0011,0.0006,0.0011,0.0079,,,,100700,Central Alabama Community College,Alexander City,AL,www.cacc.edu,2,32.9244,-85.9465
7,1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0386,0.0,0.2404,0.0,0.0,0.0,0.0,0.0,0.0441,0.054,0.0,0.0243,0.0408,0.0,0.0221,0.0121,0.0077,0.0,0.0011,0.0,0.0276,0.032,0.0,0.0221,0.0,0.0,0.0,0.0,0.0099,0.0066,0.4112,0.0055,2999.0,0.7513,0.1064,0.0213,0.0047,0.019,0.0007,0.0133,0.007,0.0764,,,,100800,Athens State University,Athens,AL,www.athens.edu,3,34.8056,-86.9651
8,1,0.8371,,,,,,,11915.0,,0.0,0.0,0.0,0.0,0.0534,0.0,0.0,0.0,0.1406,0.0,0.0,0.0036,0.0,0.0,0.016,0.0267,0.0,0.1032,0.0018,0.0,0.0,0.0,0.0,0.0,0.0231,0.0,0.0516,0.0694,0.0,0.0196,0.0,0.0,0.0,0.0,0.0107,0.1868,0.2847,0.0089,4322.0,0.5532,0.3031,0.0079,0.0245,0.0037,0.0,0.0,0.0435,0.0641,,,,831000,Auburn University at Montgomery,Montgomery,AL,www.aum.edu,4,32.3699,-86.1774
9,1,0.8274,520.0,620.0,540.0,650.0,510.0,620.0,17541.0,,0.0444,0.0152,0.0189,0.0,0.0584,0.0,0.0051,0.0,0.1066,0.1491,0.0,0.0161,0.0475,0.0,0.0196,0.0,0.0,0.0769,0.0077,0.0,0.0231,0.0,0.0028,0.0,0.0129,0.0,0.0365,0.0,0.0171,0.0477,0.0,0.0,0.0,0.0,0.0393,0.0496,0.1872,0.0182,19761.0,0.8543,0.0714,0.0253,0.0213,0.0077,0.0,0.0,0.0074,0.0127,,,,100900,Auburn University,Auburn University,AL,www.auburn.edu,4,32.6002,-85.4924
10,2,0.6422,520.0,630.0,520.0,640.0,,,,22994.0,0.0,0.0166,0.0,0.0,0.0133,0.0,0.0033,0.0,0.0731,0.0033,0.0,0.0133,0.0,0.0,0.0698,0.0,0.0,0.113,0.0365,0.0,0.0432,0.0,0.0365,0.0,0.0399,0.0,0.0598,0.0,0.0,0.0598,0.0,0.0,0.0,0.0,0.1462,0.0,0.2226,0.0498,1181.0,0.8103,0.094,0.0305,0.039,0.0102,0.0,0.0076,0.0,0.0085,,,,101200,Birmingham Southern College,Birmingham,AL,www.bsc.edu/,3,33.5155,-86.8536
11,1,,,,,,,,1873.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1077,0.0,0.0,0.0,0.0,0.0,0.0,0.0103,0.3744,0.1026,0.0,1769.0,0.4675,0.4409,0.0379,0.0136,0.0034,0.0028,0.0107,0.0,0.0232,,,,1218200,Chattahoochee Valley Community College,Phenix City,AL,www.cv.edu,2,32.4239,-85.0315
